file,path,algo,seed,num_vars,num_clauses,best_c,cpu_time
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,1,20,91,91,0.692498
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,2,20,91,91,0.686675
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,3,20,91,90,0.69721
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,4,20,91,90,0.688111
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,5,20,91,90,0.666212
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,6,20,91,91,0.683018
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,7,20,91,91,0.673361
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,8,20,91,91,0.6952
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,9,20,91,90,0.712519
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,10,20,91,91,0.697051
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,1,20,91,89,0.679509
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,2,20,91,89,0.674087
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,3,20,91,91,0.688595
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,4,20,91,90,0.704706
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,5,20,91,91,0.688011
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,6,20,91,89,0.682684
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,7,20,91,91,0.680446
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,8,20,91,88,0.690594
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,9,20,91,90,0.670699
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,10,20,91,89,0.684523
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,1,20,91,90,0.666107
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,2,20,91,90,0.659863
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,3,20,91,90,0.66168
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,4,20,91,90,0.656609
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,5,20,91,90,0.69703
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,6,20,91,91,0.656152
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,7,20,91,90,0.681561
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,8,20,91,91,0.664512
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,9,20,91,90,0.68173
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,10,20,91,90,0.688948
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,1,20,91,90,0.669201
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,2,20,91,91,0.669774
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,3,20,91,90,0.683876
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,4,20,91,91,0.699566
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,5,20,91,91,0.706182
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,6,20,91,90,0.68776
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,7,20,91,90,0.699909
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,8,20,91,91,0.686505
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,9,20,91,89,0.736648
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,10,20,91,90,0.730668
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,1,20,91,91,0.653298
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,2,20,91,91,0.650375
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,3,20,91,91,0.670883
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,4,20,91,89,0.675336
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,5,20,91,91,0.651407
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,6,20,91,91,0.67499
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,7,20,91,91,0.682545
