file,path,algo,seed,num_vars,num_clauses,best_c,cpu_time
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,1,20,91,91,0.007475
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,2,20,91,91,0.004377
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,3,20,91,91,0.001615
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,4,20,91,91,0.002048
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,5,20,91,91,0.000885
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,6,20,91,91,0.001935
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,7,20,91,91,0.004329
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,8,20,91,91,0.006550
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,9,20,91,91,0.007147
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,walksat,10,20,91,91,0.001183
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,1,20,91,91,0.011165
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,2,20,91,91,0.010570
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,3,20,91,91,0.001117
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,4,20,91,91,0.008180
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,5,20,91,91,0.001032
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,6,20,91,91,0.002285
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,7,20,91,91,0.001485
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,8,20,91,91,0.001568
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,9,20,91,91,0.001586
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,walksat,10,20,91,91,0.017871
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,1,20,91,91,0.004659
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,2,20,91,91,0.004837
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,3,20,91,91,0.000769
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,4,20,91,91,0.003797
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,5,20,91,91,0.001296
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,6,20,91,91,0.009573
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,7,20,91,91,0.001976
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,8,20,91,91,0.002801
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,9,20,91,91,0.007363
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,walksat,10,20,91,91,0.003360
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,1,20,91,91,0.003432
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,2,20,91,91,0.002698
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,3,20,91,91,0.003310
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,4,20,91,91,0.000654
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,5,20,91,91,0.007624
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,6,20,91,91,0.001079
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,7,20,91,91,0.011761
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,8,20,91,91,0.003823
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,9,20,91,91,0.000623
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,walksat,10,20,91,91,0.006750
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,1,20,91,91,0.000700
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,2,20,91,91,0.005504
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,3,20,91,91,0.001481
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,4,20,91,91,0.002881
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,5,20,91,91,0.022140
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,6,20,91,91,0.000842
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,7,20,91,91,0.006688
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,8,20,91,91,0.038256
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,9,20,91,91,0.041648
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,walksat,10,20,91,91,0.106107
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,1,20,91,91,0.002642
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,2,20,91,91,0.001110
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,3,20,91,91,0.006574
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,4,20,91,91,0.006771
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,5,20,91,91,0.001585
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,6,20,91,91,0.005276
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,7,20,91,91,0.007106
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,8,20,91,91,0.001134
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,9,20,91,91,0.000791
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,walksat,10,20,91,91,0.002931
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,1,20,91,91,0.002138
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,walksat,2,20,91,91,0.000866
